Priority Matrix Answer ID,Priority Matrix Environmental Description,Environmental Risk Score,Priority Matrix Production Description,Production Risk Score,Priority Matrix Repair Cost Description,Repair Cost Risk Score,Priority Matrix Safety Description,Safety Risk Score
734,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
735,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
736,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
737,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
738,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
739,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
740,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
741,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
742,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
743,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
744,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
745,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
746,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
747,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
748,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
749,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
750,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
751,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
752,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
753,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
754,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
755,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
756,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
757,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
758,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
759,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
760,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
761,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
762,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
763,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
764,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
765,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
766,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
767,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
768,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
769,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
770,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
771,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
772,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
773,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
774,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
775,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
776,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
777,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
778,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
779,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
780,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
781,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
782,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
783,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
784,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
785,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
786,,0,,0,,0,,0
787,,0,,0,,0,,0
788,,0,,0,,0,,0
789,,0,,0,,0,,0
790,,0,,0,,0,,0
791,(C) Moderate - Reversible Impact,15,"(B) Major - Major Impact Forced shutdown of 1 Train <$30MM, 50% Loss",20,(D) Minor - Repair <$50k,10,(C) Moderate - 1/more lost work day case due to work related injury.,15
792,(C) Moderate - Reversible Impact,15,"(B) Major - Major Impact Forced shutdown of 1 Train <$30MM, 50% Loss",20,(D) Minor - Repair <$50k,10,(C) Moderate - 1/more lost work day case due to work related injury.,15
793,,0,,0,,0,,0
794,,0,,0,,0,,0
795,(C) Moderate - Reversible Impact,15,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(D) Minor - Repair <$50k,10,(C) Moderate - 1/more lost work day case due to work related injury.,15
796,(C) Moderate - Reversible Impact,15,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(D) Minor - Repair <$50k,10,(C) Moderate - 1/more lost work day case due to work related injury.,15
797,(D) Minor - Uz GTL Secondary Area Impact,10,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,,0,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
798,,0,,0,,0,,0
799,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
800,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
801,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
802,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
803,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
804,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
805,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
806,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
807,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
808,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
809,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
810,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
811,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
812,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
813,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
814,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
815,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
816,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
817,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
818,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
819,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
820,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
821,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
822,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
823,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
824,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
825,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
826,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
827,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
828,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
829,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
830,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
831,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
832,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
833,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
834,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
835,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
836,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
837,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
838,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
839,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
840,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
841,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
842,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
843,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
844,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
845,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
846,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
847,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
848,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
849,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
850,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
851,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
852,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
853,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
854,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
855,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
856,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
857,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
858,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
859,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
860,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
861,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
